
================================================================================
  BLUR+ALT TEST — 2026-03-19 12:31:38
  alt=30m spd=15m/s blur=2px dummy=41px det=3/3 conf=0.89
  alt=30m spd=20m/s blur=3px dummy=41px det=3/3 conf=0.86
  alt=40m spd=0m/s blur=1px dummy=31px det=3/3 conf=0.76
  alt=40m spd=2m/s blur=1px dummy=31px det=3/3 conf=0.74
  alt=40m spd=5m/s blur=1px dummy=31px det=3/3 conf=0.75
  alt=40m spd=8m/s blur=1px dummy=31px det=3/3 conf=0.66
  alt=40m spd=10m/s blur=1px dummy=31px det=3/3 conf=0.72
  alt=40m spd=15m/s blur=2px dummy=31px det=3/3 conf=0.75
  alt=40m spd=20m/s blur=2px dummy=31px det=3/3 conf=0.75
  alt=50m spd=0m/s blur=1px dummy=25px det=2/3 conf=0.63
  alt=50m spd=2m/s blur=1px dummy=25px det=2/3 conf=0.61
  alt=50m spd=5m/s blur=1px dummy=25px det=3/3 conf=0.62
  alt=50m spd=8m/s blur=1px dummy=25px det=3/3 conf=0.58
  alt=50m spd=10m/s blur=1px dummy=25px det=3/3 conf=0.66
  alt=50m spd=15m/s blur=1px dummy=25px det=3/3 conf=0.56
  alt=50m spd=20m/s blur=2px dummy=25px det=2/3 conf=0.57
  alt=60m spd=0m/s blur=1px dummy=20px det=2/3 conf=0.48
  alt=60m spd=2m/s blur=1px dummy=20px det=1/3 conf=0.58
  alt=60m spd=5m/s blur=1px dummy=20px det=2/3 conf=0.45
  alt=60m spd=8m/s blur=1px dummy=20px det=0/3 conf=MISS
  alt=60m spd=10m/s blur=1px dummy=20px det=0/3 conf=MISS
  alt=60m spd=15m/s blur=1px dummy=20px det=1/3 conf=0.41
  alt=60m spd=20m/s blur=1px dummy=20px det=1/3 conf=0.51
  alt=80m spd=0m/s blur=1px dummy=15px det=0/3 conf=MISS
  alt=80m spd=2m/s blur=1px dummy=15px det=0/3 conf=MISS
  alt=80m spd=5m/s blur=1px dummy=15px det=0/3 conf=MISS
  alt=80m spd=8m/s blur=1px dummy=15px det=0/3 conf=MISS
  alt=80m spd=10m/s blur=1px dummy=15px det=0/3 conf=MISS
  alt=80m spd=15m/s blur=1px dummy=15px det=0/3 conf=MISS
  alt=80m spd=20m/s blur=1px dummy=15px det=0/3 conf=MISS

