frame,timestamp_s,conf,det_px_x,det_px_y,det_w,det_h,center_dist,drone_lat,drone_lon,drone_alt_m,drone_yaw,target_lat,target_lon
1836,61.20,0.488,1085,750,113,120,0.620,51.4233840,-2.6714690,16.1,153.0,51.4233862,-2.6715364
1840,61.33,0.498,1098,766,70,72,0.652,51.4233830,-2.6714680,16.1,153.0,51.4233860,-2.6715384
1846,61.53,0.468,1092,814,93,97,0.705,51.4233800,-2.6714650,16.1,152.9,51.4233876,-2.6715382
1856,61.87,0.452,1107,866,72,91,0.788,51.4233740,-2.6714580,16.1,153.0,51.4233857,-2.6715374
1874,62.47,0.417,1119,978,88,97,0.962,51.4233650,-2.6714490,16.2,153.0,51.4233865,-2.6715390
1982,66.07,0.427,1160,666,86,93,0.634,51.4233920,-2.6714670,16.0,153.0,51.4233831,-2.6715387
1992,66.40,0.487,1146,605,102,116,0.585,51.4233970,-2.6714720,16.2,153.0,51.4233831,-2.6715378
1996,66.53,0.467,1146,593,91,102,0.581,51.4233980,-2.6714720,16.2,153.0,51.4233830,-2.6715370
2002,66.73,0.507,1139,605,95,97,0.576,51.4233980,-2.6714730,16.2,153.0,51.4233844,-2.6715381
2006,66.87,0.472,1137,602,100,97,0.572,51.4233980,-2.6714730,16.3,153.0,51.4233841,-2.6715378
2012,67.07,0.569,1144,580,86,88,0.575,51.4233980,-2.6714740,16.4,152.9,51.4233817,-2.6715384
2016,67.20,0.523,1128,598,118,113,0.558,51.4233980,-2.6714750,16.4,153.0,51.4233841,-2.6715385
2020,67.33,0.536,1128,598,118,113,0.558,51.4233980,-2.6714750,16.4,152.9,51.4233840,-2.6715386
2026,67.53,0.515,1128,602,113,109,0.560,51.4233980,-2.6714750,16.4,153.0,51.4233845,-2.6715390
2030,67.67,0.477,1137,596,113,109,0.570,51.4233980,-2.6714750,16.4,153.0,51.4233835,-2.6715398
2034,67.80,0.523,1135,602,106,100,0.569,51.4233980,-2.6714750,16.4,152.9,51.4233841,-2.6715400
2040,68.00,0.547,1135,605,97,97,0.570,51.4233990,-2.6714750,16.5,152.9,51.4233853,-2.6715404
2044,68.13,0.484,1142,584,86,88,0.573,51.4233980,-2.6714750,16.5,153.0,51.4233821,-2.6715400
2050,68.33,0.443,1130,591,106,113,0.559,51.4233980,-2.6714750,16.6,152.9,51.4233831,-2.6715390
2054,68.47,0.468,1128,593,95,109,0.557,51.4233980,-2.6714760,16.7,152.9,51.4233833,-2.6715403
2060,68.67,0.527,1121,598,95,100,0.549,51.4233980,-2.6714760,16.8,153.0,51.4233841,-2.6715402
2064,68.80,0.547,1123,586,86,84,0.548,51.4233980,-2.6714760,16.9,153.0,51.4233828,-2.6715398
2070,69.00,0.505,1114,593,102,102,0.538,51.4233980,-2.6714760,17.0,153.0,51.4233838,-2.6715394
2076,69.20,0.520,1114,596,93,95,0.539,51.4233970,-2.6714770,17.2,152.9,51.4233829,-2.6715412
2082,69.40,0.551,1107,596,104,111,0.529,51.4233980,-2.6714760,17.4,153.0,51.4233842,-2.6715398
2088,69.60,0.582,1110,593,97,100,0.532,51.4233980,-2.6714760,17.5,153.0,51.4233836,-2.6715407
2094,69.80,0.578,1105,596,100,102,0.527,51.4233980,-2.6714760,17.7,152.9,51.4233839,-2.6715408
2100,70.00,0.551,1105,596,97,104,0.527,51.4233980,-2.6714750,17.9,153.0,51.4233838,-2.6715406
2106,70.20,0.581,1103,596,95,102,0.524,51.4233980,-2.6714750,18.1,153.0,51.4233837,-2.6715410
2112,70.40,0.502,1101,616,97,104,0.529,51.4233980,-2.6714750,18.3,153.0,51.4233858,-2.6715429
2118,70.60,0.590,1101,596,100,100,0.521,51.4233980,-2.6714750,18.4,152.8,51.4233835,-2.6715417
2124,70.80,0.637,1103,589,91,91,0.522,51.4233980,-2.6714750,18.6,152.9,51.4233826,-2.6715421
2130,71.00,0.675,1098,589,91,88,0.515,51.4233980,-2.6714750,18.7,153.0,51.4233828,-2.6715417
2136,71.20,0.653,1096,586,84,84,0.511,51.4233980,-2.6714750,18.9,153.0,51.4233825,-2.6715416
2142,71.40,0.638,1085,596,97,100,0.500,51.4233980,-2.6714760,19.0,153.0,51.4233840,-2.6715421
2148,71.60,0.657,1085,589,91,88,0.497,51.4233980,-2.6714760,19.2,153.0,51.4233832,-2.6715420
2154,71.80,0.690,1085,586,93,88,0.496,51.4233980,-2.6714760,19.3,153.0,51.4233827,-2.6715422
2309,76.97,0.606,1051,593,88,88,0.453,51.4233980,-2.6714760,20.9,153.0,51.4233844,-2.6715418
2462,82.07,0.636,1053,575,88,93,0.450,51.4233990,-2.6714780,20.8,153.0,51.4233832,-2.6715422
2468,82.27,0.618,1039,571,91,88,0.430,51.4233980,-2.6714800,20.7,153.0,51.4233826,-2.6715411
2623,87.43,0.419,34,591,70,77,0.957,51.4233420,-2.6716600,21.0,153.0,51.4233896,-2.6715325
2629,87.63,0.640,56,584,88,84,0.926,51.4233440,-2.6716530,21.0,153.0,51.4233893,-2.6715291
2635,87.83,0.628,95,582,91,84,0.872,51.4233460,-2.6716460,20.9,153.0,51.4233887,-2.6715296
